,Function,Use,Sharing,Reporting,Student_Type,Position_Type,Object_Type,Pre_K,Operating_Status,Object_Description,Text_2,SubFund_Description,Job_Title_Description,Text_3,Text_4,Sub_Object_Description,Location_Description,FTE,Function_Description,Facility_or_Department,Position_Extra,Total,Program_Description,Fund_Description,Text_1
292015,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Regular *,,Special Instruction,,,,Certificated Employees Salaries And Wages,,,Disadvantaged Youth *,,,-1961.23,,Title I - Disadvantaged Children/Targeted Assistance,ESEA TITLE I
33062,Aides Compensation,Instruction,School Reported,School,Unspecified,TA,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Extended Day Kinder Asst ,n/a,,,,,NON-PROJECT,,UNDESIGNATED,-4.1400000000000015,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
24640,Data Processing & Information Services,Business Services,School Reported,School,Special Education,Other,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Operations,COMPUTER TECHNOLOGY SPECIALIST,,,Allotment Supplement (Career Ladder) Supplement,,0.0,Instructional Resources And Media Services,All Campus Payroll,TEACHER BACHELOR,119.457631021,Services To Students With Disabilities (Special Education),General Operating Fund,REGULAR PAY
255423,Aides Compensation,Instruction,Shared Services,Non-School,Special Education,TA,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,SPECIAL ED SYSTEMWIDE COSTS,GENERAL FUND,Summer School Para ,n/a,,,SUMMER SCHOOL - HIGH SCHOOLS,,SPECIAL ED - EARLY CHILDHOOD,,PARAPROFESSIONAL,5.49,SPECIAL EDUCATION,,SPECIAL EDUCATION
43716,Food Services,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating,PURCHASE OF EQUIPMENT-OTHER THAN BUSES AND COMPUTE,,SCHOOL NUTRITION SERVICE,,,,,,,SCHOOL NUTRITION,,,622.51,Misc,School Nutrition Service Fund,
321357,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Base Salary/Compensation,Non PreK,PreK-12 Operating,Salaries Or Wages For Support Personnel,,Operations,CUSTODIAN REGULAR,,,Salaries Or Wages For Support Personnel,School ,1.0,Facilities Maintenance And Operations,Custodial Department,ANY CUS WHO IS NOT A SUPER ,23538.205730200007,Undistributed,General Operating Fund,REGULAR PAY
90621,Food Services,O&M,School Reported,School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,Food Service Worker II ,n/a,,,,,EMPLOYEE RETIREMENT,,UNDESIGNATED,137.4,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
161331,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ALL OTHER SUPPLEMENTS         ,,,CUSTODIAN                     ,,,,School ,,OPERATION OF PLANT            ,,,300.07,,GENERAL FUND                  ,
97967,Data Processing & Information Services,Business Services,Leadership & Management,Non-School,Unspecified,NO_LABEL,Contracted Services,NO_LABEL,PreK-12 Operating,CONSULTANT                    ,,,,,,,CHIEF ACADEMIC OFFICER        ,,ADMIN TECHNOLOGY SVCS         ,MIS DEPT (CORE)               ,,403.5,,GENERAL FUND                  ,EXEC DIR OF IT                
241919,Facilities & Maintenance,NO_LABEL,Shared Services,Non-School,NO_LABEL,NO_LABEL,Other Non-Compensation,NO_LABEL,PreK-12 Operating,REPAIR AND MAINTENANCE SERVICES,,MISCELLANEOUS,,,,,ADMIN. SERVICES,,MAINTENANCE AND OPERATING,,,1374.87,Misc,General Fund,
362395,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher, Elementary ",Regular,,,,,ELA E-TEACHING SHELTERED ENG,,PROFESSIONAL-INSTRUCTIONAL,2103.07,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
187860,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,REDEMPTION OF PRINCIPAL,BOND REDEMPTION,BOND REDEMPTION FUND,(blank),,,,DISBURSING,,NON-PROJECT,,UNDESIGNATED,26464999.73,DEBT SERVICE,,DEBT SERVICE
341967,Professional Development,ISPD,School Reported,School,Unspecified,Instructional Coach,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,Student Success Initiative Grant,SKILLS SPECIALIST,,Basic Educational Services - District Objective ,Extended Day,School ,,Instruction,Instruction And Curriculum,TEACHER BACHELOR,468.475894181,Basic Educational Services,Intensive Reading Instruction Initiative Grant,EXTENDED DAYS
151070,Extended Time & Tutoring,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,"Teacher, Elementary ",n/a,,,,,NON-PROJECT,,UNDESIGNATED,-30.57,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
67783,NO_LABEL,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Contracted Services,NO_LABEL,PreK-12 Operating,OTHER PURCHASED SERVICES,,PRIMARY GRADES PROGRAM ,,,,,,,INSTRUCTION,,,762.41,PRIMARY GRADES PROGRAM ,General Fund,
59483,Enrichment,Pupil Services & Enrichment,School Reported,School,Unspecified,Non-Position,Other Non-Compensation,NO_LABEL,PreK-12 Operating,TRANSPORTATION/FIELD TRIPS,EXT DAY TUITION PAID KINDERGAR,DISTRICT SPECIAL REVENUE FUNDS,(blank),Regular,,,,,EXT DAY TUITION PAID KINDERGAR,,UNDESIGNATED,420.62,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
89190,Professional Development,ISPD,School on Central Budgets,Non-School,Unspecified,Coordinator/Manager,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,TEACHER EFFECTIVENESS,DISTRICT SPECIAL REVENUE FUNDS,Project Coordinator ,n/a,,,TEACHER EFFECTIVENESS,0.33334,ALIGNING TEACHER PERFORMANCE,,PROFESSIONAL-OTHER,21349.3885534,STAFF SERVICES,,CENTRAL
383598,Parent & Community Relations,Pupil Services & Enrichment,School Reported,School,Poverty,NO_LABEL,Equipment & Equipment Lease,NO_LABEL,PreK-12 Operating,NON-CAPITALIZED  EQUIP        ,,,,,,,School ,,PARENTAL INVOLVEMENT          ,,,791.5,,FED THRU STATE-CASH ADVANCE   ,TITLE I                       
168865,Data Processing & Information Services,Business Services,School on Central Budgets,Non-School,Unspecified,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,,LEVY OVERRIDE,Computer Lab Technician ,n/a,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,547.92,INFORMATION SYSTEMS SERVICES,,CENTRAL
370831,Instructional Materials & Supplies,Instruction,School Reported,School,Unspecified,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES                      ,,,,,,,School ,,BASIC (FEFP K-12)             ,,,9330.88,,GENERAL FUND                  ,SCHOOL OPERATING ACCOUNT      
119373,Teacher Compensation,Instruction,School Reported,School,Gifted,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,"Teacher, Elementary ",Regular,,,,,STATE - GIFTED AND TALENTED,,PROFESSIONAL-INSTRUCTIONAL,1368.1865599999999,GIFTED AND TALENTED,,REGULAR INSTRUCTION
436997,Facilities & Maintenance,O&M,Shared Services,Non-School,Poverty,Other,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,DISTRICT-WIDE PROJECTS,ARRA - STIMULUS,Data Facilitator ,n/a,,,CHIEF OPERATING OFFICER,,TITLE I A - ARRA,,PROFESSIONAL-OTHER,2946.47,SUPPORT SERVICES-INSTRUCTIONAL,,INSTRUCTIONAL STAFF
119456,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,Classroom Supplies,,Community Services,,,,General Supplies *,,,Other Community Services *,,,-1163.83,,Title I - Disadvantaged Children/Targeted Assistance,PARENT INVL-P/NP 
70195,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,PRIMARY GRADES PROGRAM ,,,,,,,INSTRUCTION,,,529.23,PRIMARY GRADES PROGRAM ,General Fund,
338620,School Administration,NO_LABEL,School Reported,School,NO_LABEL,Principal,NO_LABEL,NO_LABEL,PreK-12 Operating,,,,Principal-Elementary                    ,,,,,1.0,,,PRINCIPAL                          ,204249.282,Misc,General Fund,
79881,Substitute Compensation,Instruction,School Reported,School,Unspecified,Teacher,Substitute Compensation,NO_LABEL,PreK-12 Operating,TEACHER COVERAGE FOR TEACHER,TEACHER SUBS,GENERAL FUND,Teacher Secondary (Middle) ,Regular,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,39.14544,GENERAL MIDDLE/JUNIOR HIGH SCH,,REGULAR INSTRUCTION
155650,Library & Media,Instruction,School Reported,School,Unspecified,Librarian,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,"Teacher, Librarian Elem ",Regular,,,,0.215133010178,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,14841.065904700004,SCHOOL LIBRARY SERVICES,,INSTRUCTIONAL STAFF
352425,Teacher Compensation,Instruction,School on Central Budgets,Non-School,Unspecified,Teacher,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,HUMANITIES,FEDERAL GDPG FUND - FY ,"Teacher, Secondary (High) ",n/a,,,HUMANITIES,,TITLE II-PART A-TEACHER QUALIT,,PROFESSIONAL-INSTRUCTIONAL,381.96216,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
8855,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,CONTRA BENEFITS,,GENERAL FUND,Teacher,n/a,,,,,NON-PROJECT,,UNDESIGNATED,-269.76,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
205815,Instructional Materials & Supplies,Instruction,School Reported,School,NO_LABEL,NO_LABEL,Supplies/Materials,NO_LABEL,PreK-12 Operating,SUPPLIES,,HIGH SCHOOL GENERAL ED PROGRAM 9-12,,,,,,,INSTRUCTION,,,277.1,HIGH SCHOOL GENERAL EDUCATION PROGRAM 9-12,General Fund,
233145,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,CLASSROOM TEACHER             ,,,"TEACHER, INTENSIVE READING    ",,,,School ,0.8750002808990001,BASIC (FEFP K-12)             ,,,40619.7574676,,GENERAL FUND                  ,READING INITIATIVE            
203284,Facilities & Maintenance,O&M,Shared Services,Non-School,Unspecified,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,MAINTENANCE, MILL LEVY,Helper Oper Maint (Summer) ,n/a,,,MAINTENANCE,0.0598375773441,NON-PROJECT,,EMPAC DISTRIBUTED LABOR,1280.45145352,MAINTENANCE - PLUMBING,,OPERATION AND MAINT OF PLANT
66473,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,TEACHER SUBS,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,10.72,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
52781,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Substitute Professionals,,Operations,TEACHER SUBSTITUTE POOL,,Basic Educational Services - District Objective ,Salaries And Wages For Substitute Teachers,School ,,Instruction,All Campus Payroll,DEGREED SUBSTITUTE,283.043958333,Basic Educational Services,General Operating Fund,REGULAR PAY
2057,Food Services,O&M,Leadership & Management,Non-School,Unspecified,Coordinator/Manager,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,SALARIES FOR OVERTIME,FOOD SERVICES,FOOD SERVICE FUND,"Manager, Food Service II ",n/a,,,FOOD AND NUTRITION SERVICES,,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",953.44744,FOOD PREPARATION/SERVING,,FOOD SERVICES OPERATIONS
230400,School Administration,Leadership,School Reported,School,Unspecified,Sec/Clerk/Other Admin,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Secretary I ,n/a,,,,,NON-PROJECT,,UNDESIGNATED,-222.51,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
272066,Facilities & Maintenance,O&M,School Reported,School,Unspecified,Custodian,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,CUSTODIAL-SCHOOLS,GENERAL FUND,Custodial Helper - Day ,Regular,,,,,NON-PROJECT,,"CRAFTS, TRADES, AND SERVICES",4632.87,CARE & UPKEEP OF BLDG SERVICES,,OPERATION AND MAINT OF PLANT
260264,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,,GENERAL FUND,"Teacher,Retrd Shrt Term Sub ",Regular,,,,0.004310344827590001,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,128.624984925,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
175661,School Administration,Leadership,School on Central Budgets,Non-School,Unspecified,Coordinator/Manager,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,Project Coordinator ,n/a,,,FEDERAL PROGRAMS/EXTERNAL RESO,,NON-PROJECT,,UNDESIGNATED,-1058.26,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
96919,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,FEDERAL GDPG FUND - FY ,"Teacher,Spec Ed Center Prg ",Regular,,,,0.497297142857,TITLE VI-IDEA B-MAIN,,PROFESSIONAL-INSTRUCTIONAL,37815.955058499996,SPECIAL EDUCATION-TMD ELEM,,SPECIAL EDUCATION
38481,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,,GENERAL FUND,"Teacher, Super Sub D/D ",Regular,,,,0.00215517241379,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,83.2133491837,INSTRUCTIONAL STAFF TRAINING,,INSTRUCTIONAL STAFF
217639,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,OTHER SUPPORT PERSONNEL       ,,,BUS ASSISTANT I               ,,,,TRANSPORTATION                ,0.1125,PUPIL TRANSPORTATION SERVICES ,,,1913.73199725,,GENERAL FUND                  ,
238475,Library & Media,Instruction,School Reported,School,Unspecified,Librarian,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYER PD MED CONTRIBUTION,,GENERAL FUND,"Teacher, Librarian Elem ",Regular,,,,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,209.96,SCHOOL LIBRARY SERVICES,,INSTRUCTIONAL STAFF
79364,Teacher Compensation,Instruction,School Reported,School,Special Education,Teacher,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF REGULAR EMPLOYEES,,GENERAL FUND,Teacher,Regular,,,,,SPECIAL ED. - MILD/MODERATE,,PROFESSIONAL-INSTRUCTIONAL,2726.4369600000005,SPECIAL EDUCATION-CONVERSION,,SPECIAL EDUCATION
90755,Extended Time & Tutoring,Instruction,School Reported,School,Poverty,Teacher,Other Compensation/Stipend,Non PreK,PreK-12 Operating,Salaries And Wages For Teachers And Other Professi,,"""Title  Part A Improving Basic Programs""","TEACHER, REGULAR",,,Extended Day,School ,,Instruction,Instruction And Curriculum,TEACHER MASTER,390.514353417,"""Title I, Part A Schoolwide Activities Related To State Comp","""Title  Part A Improving Basic Programs""",EXTENDED DAYS
112540,Substitute Compensation,Instruction,School Reported,School,Special Education,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Personal Services - Education Assistants,,,,,Special Education Instruction,,,0.0,,,SUBSTITUTE TEACHER,168.63,Instruction - SPED,General Purpose School,
224687,Substitute Compensation,Instruction,School on Central Budgets,Non-School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Personal Services - Substitute Teachers Certified,,,,,Career & Technical Instruction,,,0.0,,,SUBSTITUTE TEACHER,2478.58,Instruction - CTE,General Purpose School,
277385,Aides Compensation,Instruction,School Reported,School,Unspecified,TA,Base Salary/Compensation,Non PreK,PreK-12 Operating,Personal Services - Education Assistants,,,EDUCATIONAL ASST PAC (ELEM),,Regular Instructional Support,,,1.0,,,EDUC ASST  - ELEM,26226.3637892,Support - Regular Instruction,General Purpose School,
206476,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,"Teacher, Short Term Sub ",n/a,,,,,EMPLOYEE RETIREMENT,,UNDESIGNATED,69.95,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
353778,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Substitute Compensation,Non PreK,PreK-12 Operating,Salaries And Wages For Substitute Professionals,,Operations,TEACHER SUBSTITUTE POOL,,Basic Educational Services - District Objective ,Salaries And Wages For Substitute Teachers,School ,,Instruction,All Campus Payroll,CERTIFIED SUBSTITUTE,46.2073259897,Basic Educational Services,General Operating Fund,REGULAR PAY
75557,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,CONTRA BENEFITS,,GENERAL FUND,"Teacher, Secondary (High) ",n/a,,,,,NON-PROJECT,,UNDESIGNATED,-596.03,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
434446,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,,GENERAL FUND,"Teacher, Elementary ",Regular,,,,,ELA E-TEACHING SHELTERED ENG,,PROFESSIONAL-INSTRUCTIONAL,1079.43,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
5104,Facilities & Maintenance,O&M,Shared Services,Non-School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,STRATEGIC PLANNING,DISTRICT SPECIAL REVENUE FUNDS,"Teacher,Retrd Shrt Term Sub ",n/a,,,CHIEF OPERATING OFFICER,,PERFORMANCE MANAGEMENT / DELL,,PROFESSIONAL-INSTRUCTIONAL,2.55,"PLANNING,RESEARCH,DEVELOPMENT",,CENTRAL
181076,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,"Teacher, Secondary (High) ",n/a,,,,,EMPLOYEE RETIREMENT,,UNDESIGNATED,783.0799999999998,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
319072,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Base Salary/Compensation,NO_LABEL,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,TEACHER SUBS,GENERAL FUND,"Teacher, Short Term Sub ",Regular,,,,0.00215517241379,UNALLOC BUDGETS/SCHOOLS,,PROFESSIONAL-INSTRUCTIONAL,56.133969234,GENERAL HIGH SCHOOL EDUCATION,,REGULAR INSTRUCTION
183957,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,"Operating, Not PreK-12",BONUSES                       ,,,"TEACHER ASSISTANT, ID         ",,,,CHARTER,,EXCEPTIONAL                   ,,,999.56,,CONVERSION CHARTER SCHOOLS    ,
267316,Enrichment,Pupil Services & Enrichment,School on Central Budgets,Non-School,Unspecified,Club Advisor/Coach,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,ADDITIONAL/EXTRA DUTY PAY/STIP,ATHLETICS,PUPIL ACTIVITY FUND,Asst Coach ,n/a,,,ATHLETICS & STUDENT ACTIVITIES,,NON-PROJECT,,PROFESSIONAL-INSTRUCTIONAL,3524.336,MALE ATHLETICS/SPORTS ACTIVITI,,COCURRICULAR ED/ACTIVITIES
443820,Teacher Compensation,Instruction,School Reported,School,Unspecified,Teacher,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,Teacher Secondary (Middle) ,n/a,,,,,EMPLOYEE RETIREMENT,,UNDESIGNATED,711.76,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
120331,Student Transportation,O&M,Shared Services,Non-School,Special Education,Other,Other Compensation/Stipend,NO_LABEL,PreK-12 Operating,OTHER PERSONAL SERVICES       ,,,SUBSTITUTE BUS ASSISTANT      ,,,,TRANSPORTATION                ,0.0,PUPIL TRANSPORTATION SERVICES ,,,3.326,,GENERAL FUND                  ,
252691,Enrichment,Pupil Services & Enrichment,Leadership & Management,Non-School,Unspecified,Other,Benefits,NO_LABEL,PreK-12 Operating,RETIREMENT CONTRIB.,,GENERAL FUND,Misc Fee Basis ,n/a,,,ATHLETICS & STUDENT ACTIVITIES,,EMPLOYEE RETIREMENT,,UNDESIGNATED,7.68,EMPLOYEE BENEFITS,,EMPLOYEE BENEFITS
103211,NO_LABEL,NO_LABEL,School Reported,School,NO_LABEL,NO_LABEL,Contracted Services,NO_LABEL,PreK-12 Operating,CONTRACTED SERVICES-TEACHERS,,CATEGORY V REV AND EXP SPECIAL ED,,,,,,,INSTRUCTION,,,57240.23,SPECIAL EDUCATION CATEGORY V,General Fund,
288601,Substitute Compensation,Instruction,School Reported,School,Unspecified,Substitute,Benefits,NO_LABEL,PreK-12 Operating,EMPLOYEE BENEFITS,, MILL LEVY,"Teacher, Short Term Sub ",Regular,,,,,ALL DAY KINDERGARTEN,,PROFESSIONAL-INSTRUCTIONAL,7.1000000000000005,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
270308,Aides Compensation,Instruction,School Reported,School,PreK,TA,Base Salary/Compensation,PreK,PreK-12 Operating,SALARIES OF PART TIME EMPLOYEE,,DISTRICT SPECIAL REVENUE FUNDS,Early Childhood Education ,Regular,,,,0.169047619048,MONTESSORI TUITION BASED,,PARAPROFESSIONAL,2967.0767809500007,GENERAL ELEMENTARY EDUCATION,,REGULAR INSTRUCTION
311431,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,NO_LABEL,Non-Operating,PURCHASED PROFESSIONAL AND TECH SVCS-OTHER FEES,,SCHOOL-WIDE SCHOOL PGMS FOR TITLE GRANTS,,,,,,,OTHER SUPPORT SERVICES,,,14082.35,Misc,Schoolwide Schools,
